სათაური,ავტორი,ფასი
არსადროს,ნილ გეიმანი,"20,90 ₾"
თავისუფალ ქვეყანაში,ვ. ს. ნაიპოლი,"14,90 ₾"
არსთა მესნევი (წიგნი მეორე),ჯალალ ედ-დინ რუმი,"20,90 ₾"
კითხვარი,მაქს ფრიში,"12,90 ₾"
ელემენტარული ნაწილაკები,მიშელ უელბეკი,"16,90 ₾"
თამაში რიოში მარგალიტებით,ჰერმან ჰესე,"22,90 ₾"
პროფესორის საყვარელი ფორმულა,იოკო ოგავა,"10,90 ₾"
ნიუიორკული ტრილოგია,პოლ ოსტერი,"12,90 ₾"
შემოდგომა,ალი სმითი,"12,90 ₾"
მოთხრობების სრული კრებული,ფრანც კაფკა,"25,90 ₾"
შანტარამი,გრეგორი დევიდ რობერტსი,"34,90 ₾"
ეგ არ ქნა!,ეთგარ კერეთი,"10,90 ₾"
გრინდელვალდის დანაშაულები,ჯოან როულინგი,"16,90 ₾"
წითელი ოთახი,ავგუსტ სტრინდბერგი,"24,90 ₾"
"გოგონა, რომელიც უნდა მომკვდარიყო",დევიდ ლაგერკრანცი,"18,90 ₾"
მიწის მადლი,კნუტ ჰამსუნი,"15,90 ₾"
კრავთა დუმილი,თომას ჰარისი,"16,90 ₾"
ჰიპი,პაულო კოელიო,"15,90 ₾"
ქარვის ჭოგრიტი,ფილიპ პულმანი,"22,90 ₾"
ორი ქალაქის ამბავი,ჩარლზ დიკენსი,"29,90 ₾"
ველური დეტექტივები,რობერტო ბოლანიო,"24,90 ₾"
"აღმა, დინების წინააღმდეგ",ანა ესკური,"15,90 ₾"
პატარა ქალები – წიგნი მეორე,ლუიზა მეი ოლკოტი,"12,90 ₾"
წრიპა ბიჭის დღიური: ახალი ხათაბალა (წიგნი 11),ჯეფ კინი,"14,90 ₾"
ტყის ჩეხა,თომას ბერნჰარდი,"10,90 ₾"
უსაფრთხო მანძილი,სამანტა შვებლინი,"9,90 ₾"
ნაწყვდიადევს,ჰარუკი მურაკამი,"11,90 ₾"
დეტექტივი სკალდაგერი,დერეკ ლენდი,"14,90 ₾"
სეროტონინი,მიშელ უელბეკი,"15,90 ₾"
არსთა მესნევი (წიგნი პირველი),ჯალალ ედ-დინ რუმი,"20,90 ₾"
პატარა ქალები – წიგნი მეორე,ლუიზა მეი ოლკოტი,"12,90 ₾"
მაშენკა,ვლადიმირ ნაბოკოვი,"9,90 ₾"
ანტიქრისტა,ამელი ნოტომი,"9,90 ₾"
33 ზღაპარი,ჰერმან ჰესე,"14,90 ₾"
მე და შენ,ნიკოლო ამანიტი,"9,90 ₾"
მოხუცების ადგილი აქ არ არის,კორმაკ მაკარტი,"12,90 ₾"
გრეი,ე.ლ. ჯეიმზი,"29,90 ₾"
მოსამართი ჩიტის ქრონიკები,ჰარუკი მურაკამი,"27,90 ₾"
სპილოს მოგზაურობა,ჟოზე სარამაგუ,"12,90 ₾"
უბედობა,იმრე კერტესი,"13,90 ₾"
"მარწუხებში, ასპერნის წერილები",ჰენრი ჯეიმზი,"18,90 ₾"
რიტუალები,სეეს ნოტებოომი,"10,90 ₾"
ამბოხის გზა,რიჩარდ იეიტსი,"15,90 ₾"
რჩეული მოთხრობები,მიხაილ ბულგაკოვი,"20,90 ₾"
კაცი რომელიც სახეებს მიღმა ხედავდა,ერიკ-ემანუელ შმიტი,"19,90 ₾"
"სად წახვედი, ბერნადეტ?",მარია სემპლი,"17,90 ₾"
ამბავი უფლისწული გენჯისა,მურასაკი შიკიბუ,"21,90 ₾"
ამერიკელი ფსიქოპათი,ბრეტ ისტონ ელისი,"23,90 ₾"
მოკვდი სიყვარულო,არიანა ჰარვიცი,"6,90 ₾"
ვიტა,მელანია მაცუკო,"17,90 ₾"
იავნანა,ლეილა სლიმანი,"11,90 ₾"
ადამიანი გაჩნდა ჰოლოცენში,მაქს ფრიში,"9,90 ₾"
მონტოკი,მაქს ფრიში,"10,90 ₾"
შესწორებები,ჯონათან ფრენზენი,"25,90 ₾"
ოსტატი და მარგარიტა,მიხაილ ბულგაკოვი,"20,90 ₾"
პროექტი როუზი,გრემ სიმსიონი,"13,90 ₾"
კუნძული,ოლდოს ჰაქსლი,"18,90 ₾"
სულების სახლი,ისაბელ ალიენდე,"22,90 ₾"
ოკეანე ქუჩის ბოლოს,ნილ გეიმანი,"11,90 ₾"
ჩემი ბრძოლა,კარლ უვე კნაუსგორი,"16,90 ₾"
ანგელოზები და დემონები,დენ ბრაუნი,"27,90 ₾"
ჯეინ ოსტინის მკითხველთა კლუბი,კარენ ჯოი ფაულერი,"14,90 ₾"
"გოგონა, რომელიც სამაგიეროს ყველას უხდის",დევიდ ლაგერკრანცი,"17,90 ₾"
ცათამბჯენი,ჯეიმს ბალარდი,"12,90 ₾"
ბოლო ჟამის ომი,მარიო ვარგას ლიოსა,"24,90 ₾"
ორესტეა,ესქილე,"11,90 ₾"
Generation „პ“,ვიქტორ პელევინი,"15,90 ₾"
კარგი ნიშნები,ნილ გეიმანი,"15,90 ₾"
ქვიან სანაპიროზე,იენ მაკიუენი,"8,90 ₾"
"სიცოცხლე, სამყარო და ყველაფერი",დაგლას ადამსი,"11,90 ₾"
ბნელი მატერია,ბლეიკ კრაუჩი,"16,90 ₾"
ნოეს შვილი,ერიკ-ემანუელ შმიტი,"10,90 ₾"
ბატონი იბრაჰიმი და ყურანის ყვავილები,ერიკ-ემანუელ შმიტი,"6,90 ₾"
მოთამაშე | იატაკქვეშეთის ჩანაწერები | უპოვარნი,ფიოდორ დოსტოევსკი,"19,90 ₾"
მონანიება,იენ მაკიუენი,"19,90 ₾"
ცემენტის ბაღი,იენ მაკიუენი,"10,90 ₾"
ნარჩენები,ტომ პეროტა,"16,90 ₾"
დენს დენს დენს,ჰარუკი მურაკამი,"19,90 ₾"
ოსკარი და ვარდისფერი ქალბატონი,ერიკ-ემანუელ შმიტი,"6,90 ₾"
შენი სახელი დამიძახე,ანდრე ასიმანი,"12,90 ₾"
სიკვდილი კრედიტით,ლუი-ფერდინანად სელინი,"25,90 ₾"
დასაბამი და იმპერია,აიზეკ აზიმოვი,"14,90 ₾"
ნეირომანსერი,უილიამ გიბსონი,"13,90 ₾"
სინათლის მეომრის გზამკვლევი,პაულო კოელიო,"12,90 ₾"
კასანდრა,კრისტა ვოლფი,"10,90 ₾"
შეჯახება,ჯეიმს ბალარდი,"14,90 ₾"
რადეცკის მარში,იოზეფ როთი,"19,90 ₾"
ნადირობა ცხვარზე,ჰარუკი მურაკამი,"14,90 ₾"
ჯევდეთ ბეი და მისი ვაჟიშვილები,ორჰან ფამუქი,"19,90 ₾"
სოლარისი,სტანისლავ ლემი,"11,90 ₾"
ორლანდო,ვირჯინია ვულფი,"19,90 ₾"
ძმები კარამაზოვები,ფიოდორ დოსტოევსკი,"27,90 ₾"
რესტორანი სამყაროს დასალიერში,დაგლას ადამსი,"12,90 ₾"
თუ ზამთრის ღამით მოგზაური,იტალო კალვინო,"13,90 ₾"
ბავშვობის დასასრული,არტურ კლარკი,"13,90 ₾"
გოგონები,ემა კლაინი,"14,90 ₾"
ხმაური და მძვინვარება,უილიამ ფოლკნერი,"17,90 ₾"
შტილერი,მაქს ფრიში,"15,90 ₾"
იქ და ახლა,ხულიო კორტასარი,"9,90 ₾"
გასასვლელები,ხულიო კორტასარი,"14,90 ₾"
კაენი,ჟოზე სარამაგუ,"10,90 ₾"
იესოს სახარება,ჟოზე სარამაგუ,"14,90 ₾"
ღრუბლების ატლასი,დევიდ მიჩელი,"21,90 ₾"
შავი წიგნი,ორჰან ფამუქი,"15,90 ₾"
ქარი / პინბოლი,ჰარუკი მურაკამი,"14,90 ₾"
ხრჩობა,ჩაკ პალანიკი,"14,90 ₾"
თევზის კონცერტი,ჰალდორ ლაქსნესი,"14,90 ₾"
ორი მამაკაცი ბრიუსელიდან,ერიკ-ემანუელ შმიტი,"14,90 ₾"
ვიწრო გზა შორეული ჩრდილოეთისაკენ,რიჩარდ ფლენეგანი,"19,90 ₾"
ვიქნები თუნდაც განტენბაინი,მაქს ფრიში,"15,90 ₾"
Homo Faber (ჰომო ფაბერი),მაქს ფრიში,"12,90 ₾"
წითური ქალი,ორჰან ფამუქი,"12,90 ₾"
ოთახი,ემა დონაჰიუ,"15,90 ₾"
ეგზორცისტი,უილიამ პიტერ ბლეტი,"19,90 ₾"
ფაუსტი II,იოჰან ვოლფგანგ გოეთე,"15,90 ₾"
ფაუსტი I,იოჰან ვოლფგანგ გოეთე,"14,90 ₾"
მდუმარე სახლი,ორჰან ფამუქი,"13,90 ₾"
თამაშები,ხულიო კორტასარი,"15,90 ₾"
